key	book	ch	vr	wordnumber	counter	word	what	reason	fixed
#﻿10	01O	1	1	1	0	בְּרֵאשִׁית	ב׳ רבתי	9	
#110	01O	1	11	5	0	דֶּשֶׁא	בספרי ספרד דֶּ֗שֶׁא	8	
#180	01O	1	18	4	0	וּלֲהַבְדִּיל	נ׳׳א וּלֲהַבְדִּ֔יל	8	
#210	01O	1	21	3	0	אֶת־הַתַּנִּינִם	חסר י׳ בתואה	1	אֶת־הַתַּנִּינִ֖ים
#350	01O	2	4	5	0	בְּהִבָּרְאָם	ה׳ זעירא	9	
#530	01O	2	22	5	0	אֶת־הַצֵּלָע	קמץ ומלרע	6	
#560	01O	2	25	3	0	עֲרוּמִּים	דגש אחר שורק	6	
#620	01O	3	6	19	0	וַיֹּאכַל	פתח באס׳׳ף וַיֹּאכַֽל	6	
#830	01O	4	3	4	0	וַיָּבֵא	מלרע	4	
#840	01O	4	4	6	0	וּמֵחֶלְבֵהֶן	ב׳ רפה	4	
#1030	01O	4	23	10	0	הַאְזֵנָּה	א׳ נחת	4	
#1350	01O	5	29	5	0	זֶה	הקורא יטעים הגרש קודם התלשא זֶ֞ה֠	2	
#1570	01O	6	19	1	0	וּמִכָּל־הָחַי	הָ֠חַי הה׳׳א בקמץ	6	
#2010	01O	8	17	9	0	הַוְצֵא	הַיְצֵ֣א קרי	1	הַיְצֵ֣א
#2020	01O	8	18	1	0	וַיֵּצֵא־נֹחַ	וַיֵּ֖צֵא במקף ובנגינה	2	
#2350	01O	9	29	1	0	וַיְהִי	כצ׳׳ל וַיְהִי֙	7	
#2520	01O	10	17	2	0	וְאֶת־הָעַרְקִי	הה׳׳א בקמץ הָֽעַרְקִ֖י	6	
#2540	01O	10	19	12	0	וּצְבֹיִם	וּצְבֹויִ֖ם קרי	1	וּצְבֹויִ֖ם
#2580	01O	10	23	6	0	וָמַשׁ	פתח בס׳׳פ וָמַֽשׁ	6	
#2700	01O	11	3	12	0	לְאָבֶן	קמץ בז׳׳ק לְאָ֔בֶן	6	
#2780	01O	11	11	4	0	אֶת־אַרְפַּכְשָׁד	קמץ בז׳׳ק אַרְפַּכְשָׁ֔ד	6	
