Book,Eng,EngSingle,Value,Chap,Verse,HebChap
01O,Genesis,Genesis,10,1,1,1
01O,Genesis,Genesis,20,1,2,1
01O,Genesis,Genesis,30,1,3,1
01O,Genesis,Genesis,40,1,4,1
01O,Genesis,Genesis,50,1,5,1
01O,Genesis,Genesis,60,1,6,1
01O,Genesis,Genesis,70,1,7,1
01O,Genesis,Genesis,80,1,8,1
01O,Genesis,Genesis,90,1,9,1
01O,Genesis,Genesis,100,1,10,1
01O,Genesis,Genesis,110,1,11,1
01O,Genesis,Genesis,120,1,12,1
01O,Genesis,Genesis,130,1,13,1
01O,Genesis,Genesis,140,1,14,1
01O,Genesis,Genesis,150,1,15,1
01O,Genesis,Genesis,160,1,16,1
01O,Genesis,Genesis,170,1,17,1
01O,Genesis,Genesis,180,1,18,1
01O,Genesis,Genesis,190,1,19,1
01O,Genesis,Genesis,200,1,20,1
01O,Genesis,Genesis,210,1,21,1
01O,Genesis,Genesis,220,1,22,1
01O,Genesis,Genesis,230,1,23,1
01O,Genesis,Genesis,240,1,24,1
01O,Genesis,Genesis,250,1,25,1
01O,Genesis,Genesis,260,1,26,1
01O,Genesis,Genesis,270,1,27,1
01O,Genesis,Genesis,280,1,28,1
01O,Genesis,Genesis,290,1,29,1
01O,Genesis,Genesis,300,1,30,1
01O,Genesis,Genesis,310,1,31,1
01O,Genesis,Genesis,320,2,1,1
01O,Genesis,Genesis,330,2,2,1
01O,Genesis,Genesis,340,2,3,1
01O,Genesis,Genesis,350,2,4,2
01O,Genesis,Genesis,360,2,5,2
01O,Genesis,Genesis,370,2,6,2
01O,Genesis,Genesis,380,2,7,2
01O,Genesis,Genesis,390,2,8,2
01O,Genesis,Genesis,400,2,9,2
01O,Genesis,Genesis,410,2,10,2
01O,Genesis,Genesis,420,2,11,2
01O,Genesis,Genesis,430,2,12,2
01O,Genesis,Genesis,440,2,13,2
01O,Genesis,Genesis,450,2,14,2
01O,Genesis,Genesis,460,2,15,2
01O,Genesis,Genesis,470,2,16,2
01O,Genesis,Genesis,480,2,17,2
01O,Genesis,Genesis,490,2,18,2
01O,Genesis,Genesis,500,2,19,2
01O,Genesis,Genesis,510,2,20,2
01O,Genesis,Genesis,520,2,21,2
01O,Genesis,Genesis,530,2,22,2
01O,Genesis,Genesis,540,2,23,2
01O,Genesis,Genesis,550,2,24,2
01O,Genesis,Genesis,560,2,25,2
01O,Genesis,Genesis,570,3,1,2
01O,Genesis,Genesis,580,3,2,2
01O,Genesis,Genesis,590,3,3,2
01O,Genesis,Genesis,600,3,4,2
01O,Genesis,Genesis,610,3,5,2
01O,Genesis,Genesis,620,3,6,2
01O,Genesis,Genesis,630,3,7,2
01O,Genesis,Genesis,640,3,8,2
01O,Genesis,Genesis,650,3,9,2
01O,Genesis,Genesis,660,3,10,2
01O,Genesis,Genesis,670,3,11,2
01O,Genesis,Genesis,680,3,12,2
01O,Genesis,Genesis,690,3,13,2
01O,Genesis,Genesis,700,3,14,2
01O,Genesis,Genesis,710,3,15,2
01O,Genesis,Genesis,720,3,16,2
01O,Genesis,Genesis,730,3,17,2
01O,Genesis,Genesis,740,3,18,2
01O,Genesis,Genesis,750,3,19,2
01O,Genesis,Genesis,760,3,20,2
01O,Genesis,Genesis,770,3,21,2
01O,Genesis,Genesis,780,3,22,3
01O,Genesis,Genesis,790,3,23,3
01O,Genesis,Genesis,800,3,24,3
01O,Genesis,Genesis,810,4,1,3
01O,Genesis,Genesis,820,4,2,3
01O,Genesis,Genesis,830,4,3,3
01O,Genesis,Genesis,840,4,4,3
01O,Genesis,Genesis,850,4,5,3
01O,Genesis,Genesis,860,4,6,3
01O,Genesis,Genesis,870,4,7,3
01O,Genesis,Genesis,880,4,8,3
01O,Genesis,Genesis,890,4,9,3
01O,Genesis,Genesis,900,4,10,3
01O,Genesis,Genesis,910,4,11,3
01O,Genesis,Genesis,920,4,12,3
01O,Genesis,Genesis,930,4,13,3
01O,Genesis,Genesis,940,4,14,3
01O,Genesis,Genesis,950,4,15,3
